Date,Usage
12/31/2009,280
1/31/2010,669
2/28/2010,559
3/31/2010,611
4/30/2010,309
5/31/2010,238
6/30/2010,775
7/31/2010,1113
8/31/2010,1214
9/30/2010,1273
10/31/2010,580
11/30/2010,245
12/31/2010,352
1/31/2011,523
2/28/2011,440
3/31/2011,277
4/30/2011,234
5/31/2011,332
6/30/2011,779
7/31/2011,1274
8/31/2011,1023
9/30/2011,1432
10/31/2011,503
11/30/2011,289
12/31/2011,430
1/31/2012,389
2/29/2012,462
3/31/2012,291
4/30/2012,247
5/31/2012,500
6/30/2012,648
7/31/2012,1167
8/31/2012,1863
9/30/2012,1133
10/31/2012,438
11/30/2012,291
12/31/2012,343
1/31/2013,388
2/28/2013,300
3/31/2013,280
4/30/2013,232
5/31/2013,285
6/30/2013,830
7/31/2013,1358
8/31/2013,1285
9/30/2013,927
10/31/2013,378
11/30/2013,130
12/31/2013,367
1/31/2014,
2/28/2014,
3/31/2014,329
4/30/2014,400
5/31/2014,487
6/30/2014,942
7/31/2014,1493
8/31/2014,1280
9/30/2014,1543
10/31/2014,548
11/30/2014,396
12/31/2014,504
1/31/2015,781
2/28/2015,873
3/31/2015,876
4/30/2015,507
5/31/2015,482
6/30/2015,804
7/31/2015,1817
8/31/2015,1733
9/30/2015,1063
10/31/2015,447
11/30/2015,468
12/31/2015,327
1/31/2016,555
2/29/2016,510
3/31/2016,416
4/30/2016,408
5/31/2016,738
6/30/2016,
7/31/2016,1378
8/31/2016,2218
9/30/2016,1539
10/31/2016,1211
11/30/2016,720
12/31/2016,545
1/31/2017,599
2/28/2017,530
3/31/2017,450
4/30/2017,366
5/31/2017,
6/30/2017,792
7/31/2017,1508
8/31/2017,1426
9/30/2017,1155
10/31/2017,660
11/30/2017,467
12/31/2017,749
1/31/2018,652
2/28/2018,437
3/31/2018,350
4/30/2018,
5/31/2018,
6/30/2018,727
7/31/2018,1784
8/31/2018,2570
9/30/2018,797
10/31/2018,891
11/30/2018,369
12/31/2018,733
1/31/2019,801
2/28/2019,532
3/31/2019,510
4/30/2019,342
5/31/2019,727
6/30/2019,472
7/31/2019,1402
8/31/2019,1653
9/30/2019,1973
10/31/2019,1305
11/30/2019,412
12/31/2019,518
1/31/2020,404
2/29/2020,454
3/31/2020,501
4/30/2020,461
5/31/2020,618
6/30/2020,572
7/31/2020,1401
8/31/2020,1545
9/30/2020,1742
10/31/2020,697
11/30/2020,560
12/31/2020,407
1/31/2021,556
2/28/2021,475
3/31/2021,544
4/30/2021,323
5/31/2021,799
6/30/2021,
7/31/2021,
8/31/2021,
9/30/2021,
10/31/2021,
11/30/2021,
12/31/2021,419
1/31/2022,513
2/28/2022,509
3/31/2022,369
4/30/2022,352
5/31/2022,491
6/30/2022,1112
7/31/2022,1630
8/31/2022,2032
9/30/2022,1156
10/31/2022,823
11/30/2022,353
12/31/2022,440
1/31/2023,414
2/28/2023,484
3/31/2023,348
4/30/2023,393
5/31/2023,415
6/30/2023,608
7/31/2023,1304
8/31/2023,1591
9/30/2023,1918
10/31/2023,1126
11/30/2023,627
